pergunta_normalizada,cod_2023_2024,header_2023_2024,cod_2024_2025,header_2024_2025,cod_2025_2026,header_2025_2026,codigo_estavel
a_empresa_que_trabalho_paga_pelas_solucoes_de_ai_generativa_com_foco_em_produtividade,4.m.4,"('P4_m_4 ', 'A empresa que trabalho paga pelas soluções de AI Generativa com foco em produtividade')",4.m.4,4.m.4 A empresa que trabalho paga pelas soluções de AI Generativa com foco em produtividade,4.j.4,4.j.4 A empresa que trabalho paga pelas soluções de AI Generativa com foco em produtividade,NAO
ai_generativa_e_llms_para_melhorar_produtos_externos_para_os_clientes_finais,4.l.4,"('P4_l_4 ', 'AI Generativa e LLMs para melhorar produtos externos para os clientes finais')",3.f.4,3.f.4 AI Generativa e LLMs para melhorar produtos externos para os clientes finais,3.f.4,3.f.4 AI Generativa e LLMs para melhorar produtos externos para os clientes finais,NAO
ai_generativa_e_llms_para_melhorar_produtos_internos_para_os_colaboradores,3.f.5,"('P3_f_5 ', 'AI Generativa e LLMs para melhorar produtos internos para os colaboradores')",3.f.5,3.f.5 AI Generativa e LLMs para melhorar produtos internos para os colaboradores,3.f.5,3.f.5 AI Generativa e LLMs para melhorar produtos internos para os colaboradores,sim
alta_direcao_da_empresa_nao_ve_valor_ou_nao_ve_como_prioridade,3.g.8,"('P3_g_8 ', 'Alta direção da empresa não vê valor ou não vê como prioridade')",3.g.8,3.g.8 Alta direção da empresa não vê valor ou não vê como prioridade,3.h.8,3.h.8 Alta direção da empresa não vê valor ou não vê como prioridade,NAO
alteryx,4.j.11,"('P4_j_11 ', 'Alteryx')",4.j.10,4.j.10_Alteryx,4.g.10,4.g.10_Alteryx,NAO
amazon_athena,4.g.25,"('P4_g_25 ', 'Amazon Athena')",4.g.25,4.g.25_Amazon Athena,4.d.25,4.d.25_Amazon Athena,NAO
amazon_aurora_ou_rds,4.g.4,"('P4_g_4 ', 'Amazon Aurora ou RDS')",4.g.4,4.g.4_Amazon Aurora ou RDS,4.d.4,4.d.4_Amazon Aurora ou RDS,NAO
amazon_quicksight,4.j.9,"('P4_j_9 ', 'Amazon Quicksight')",4.j.9,4.j.9_Amazon Quicksight,4.g.9,4.g.9_Amazon Quicksight,NAO
amazon_redshift,4.g.24,"('P4_g_24 ', 'Amazon Redshift')",4.g.24,4.g.24_Amazon Redshift,4.d.24,4.d.24_Amazon Redshift,NAO
amazon_web_services_aws,4.h.2,"('P4_h_2 ', 'Amazon Web Services (AWS)')",4.h.1,4.h.1_Amazon Web Services (AWS),4.e.1,4.e.1_Amazon Web Services (AWS),NAO
ambiente_e_clima_de_trabalho,2.o.5,"('P2_o_5 ', 'Ambiente e clima de trabalho')",2.l.5,2.l.5_Ambiente e clima de trabalho,2.l.5,2.l.5_Ambiente e clima de trabalho,NAO
